"rules";"support";"confidence";"coverage";"lift";"count"
"1";"{Cepillos} => {Esmalte}";0,149;1;0,149;3,57142857142857;149
"2";"{Delineador de labios} => {Corrector de ojeras}";0,179;0,764957264957265;0,234;1,73067254515218;179
"3";"{Bronzer} => {Corrector de ojeras}";0,175;0,627240143369176;0,279;1,41909534698909;175
"4";"{Rubor} => {Corrector de ojeras}";0,22;0,606060606060606;0,363;1,37117784176608;220
"5";"{Mascarilla antiedad} => {Sombras}";0,321;0,899159663865546;0,357;2,35999911775734;321
"6";"{Sombras} => {Mascarilla antiedad}";0,321;0,84251968503937;0,381;2,35999911775734;321
"7";"{Delineador} => {Corrector de ojeras}";0,297;0,649890590809628;0,457;1,4703407031892;297
"8";"{Corrector de ojeras} => {Delineador}";0,297;0,671945701357466;0,442;1,4703407031892;297
"9";"{Brillo de labios} => {Base}";0,356;0,726530612244898;0,49;1,35546756015839;356
"10";"{Base} => {Brillo de labios}";0,356;0,664179104477612;0,536;1,35546756015839;356
"11";"{Bronzer,Delineador de labios} => {Corrector de ojeras}";0,103;0,8046875;0,128;1,82055995475113;103
"12";"{Rubor,Delineador de labios} => {Corrector de ojeras}";0,108;0,870967741935484;0,124;1,9705152532477;108
"13";"{Corrector de ojeras,Delineador de labios} => {Rubor}";0,108;0,603351955307263;0,179;1,6621265986426;108
"14";"{Delineador de labios,Delineador} => {Corrector de ojeras}";0,12;0,923076923076923;0,13;2,08840932822833;120
"15";"{Corrector de ojeras,Delineador de labios} => {Delineador}";0,12;0,670391061452514;0,179;1,46693886532279;120
"16";"{Mascarilla antiedad,Lapiz de labios} => {Sombras}";0,11;0,909090909090909;0,121;2,38606537819136;110
"17";"{Sombras,Lapiz de labios} => {Mascarilla antiedad}";0,11;0,852713178294574;0,129;2,38855232015287;110
"18";"{Lapiz de labios,Delineador} => {Corrector de ojeras}";0,103;0,664516129032258;0,155;1,50343015618158;103
"19";"{Corrector de ojeras,Lapiz de labios} => {Delineador}";0,103;0,725352112676056;0,142;1,58720374765001;103
"20";"{Brillo de labios,Lapiz de labios} => {Base}";0,116;0,734177215189873;0,158;1,36973361042887;116
"21";"{Base,Lapiz de labios} => {Brillo de labios}";0,116;0,694610778443114;0,167;1,41757301723084;116
"22";"{Esmalte,Mascarilla antiedad} => {Sombras}";0,119;0,888059701492537;0,134;2,33086535824813;119
"23";"{Esmalte,Sombras} => {Mascarilla antiedad}";0,119;0,908396946564885;0,131;2,54452926208651;119
"24";"{Rubor,Bronzer} => {Corrector de ojeras}";0,107;0,798507462686567;0,134;1,80657796987911;107
"25";"{Corrector de ojeras,Bronzer} => {Rubor}";0,107;0,611428571428571;0,175;1,68437622983078;107
"26";"{Bronzer,Mascarilla antiedad} => {Sombras}";0,124;0,905109489051095;0,137;2,37561545682702;124
"27";"{Bronzer,Sombras} => {Mascarilla antiedad}";0,124;0,879432624113475;0,141;2,46339670620021;124
"28";"{Bronzer,Mascarilla antiedad} => {Corrector de ojeras}";0,102;0,744525547445255;0,137;1,68444693992139;102
"29";"{Bronzer,Delineador} => {Corrector de ojeras}";0,119;0,815068493150685;0,146;1,84404636459431;119
"30";"{Corrector de ojeras,Bronzer} => {Delineador}";0,119;0,68;0,175;1,48796498905908;119
"31";"{Rubor,Mascarilla antiedad} => {Sombras}";0,169;0,918478260869565;0,184;2,41070409677051;169
"32";"{Rubor,Sombras} => {Mascarilla antiedad}";0,169;0,928571428571429;0,182;2,60104041616647;169
"33";"{Rubor,Mascarilla antiedad} => {Corrector de ojeras}";0,131;0,71195652173913;0,184;1,61076136140075;131
"34";"{Corrector de ojeras,Mascarilla antiedad} => {Rubor}";0,131;0,642156862745098;0,204;1,76902717009669;131
"35";"{Rubor,Sombras} => {Corrector de ojeras}";0,124;0,681318681318681;0,182;1,54144498035901;124
"36";"{Corrector de ojeras,Sombras} => {Rubor}";0,124;0,616915422885572;0,201;1,69949152310075;124
"37";"{Rubor,Delineador} => {Corrector de ojeras}";0,143;0,794444444444444;0,18;1,79738562091503;143
"38";"{Rubor,Corrector de ojeras} => {Delineador}";0,143;0,65;0,22;1,42231947483589;143
"39";"{Rubor,Brillo de labios} => {Corrector de ojeras}";0,112;0,629213483146067;0,178;1,42355991662006;112
"40";"{Rubor,Brillo de labios} => {Base}";0,119;0,668539325842697;0,178;1,24727486164682;119
"41";"{Rubor,Base} => {Brillo de labios}";0,119;0,619791666666667;0,192;1,26488095238095;119
"42";"{Mascarilla antiedad,Delineador} => {Sombras}";0,151;0,862857142857143;0,175;2,2647169103862;151
"43";"{Sombras,Delineador} => {Mascarilla antiedad}";0,151;0,82967032967033;0,182;2,3240065256872;151
"44";"{Mascarilla antiedad,Brillo de labios} => {Sombras}";0,158;0,87292817679558;0,181;2,29115007032961;158
"45";"{Sombras,Brillo de labios} => {Mascarilla antiedad}";0,158;0,786069651741294;0,201;2,2018757751857;158
"46";"{Corrector de ojeras,Mascarilla antiedad} => {Sombras}";0,179;0,877450980392157;0,204;2,30302094591117;179
"47";"{Corrector de ojeras,Sombras} => {Mascarilla antiedad}";0,179;0,890547263681592;0,201;2,49453015036861;179
"48";"{Mascarilla antiedad,Base} => {Sombras}";0,166;0,864583333333333;0,192;2,26924759405074;166
"49";"{Sombras,Base} => {Mascarilla antiedad}";0,166;0,786729857819905;0,211;2,20372509193251;166
"50";"{Mascarilla antiedad,Delineador} => {Corrector de ojeras}";0,134;0,765714285714286;0,175;1,73238526179703;134
"51";"{Corrector de ojeras,Mascarilla antiedad} => {Delineador}";0,134;0,656862745098039;0,204;1,437336422534;134
"52";"{Mascarilla antiedad,Brillo de labios} => {Base}";0,13;0,718232044198895;0,181;1,33998515708749;130
"53";"{Mascarilla antiedad,Base} => {Brillo de labios}";0,13;0,677083333333333;0,192;1,38180272108844;130
"54";"{Sombras,Delineador} => {Corrector de ojeras}";0,13;0,714285714285714;0,182;1,61603102779573;130
"55";"{Corrector de ojeras,Sombras} => {Delineador}";0,13;0,646766169154229;0,201;1,41524325854317;130
"56";"{Sombras,Brillo de labios} => {Base}";0,146;0,72636815920398;0,201;1,35516447612683;146
"57";"{Sombras,Base} => {Brillo de labios}";0,146;0,691943127962085;0,211;1,41212883257568;146
"58";"{Brillo de labios,Delineador} => {Corrector de ojeras}";0,145;0,638766519823789;0,227;1,44517312177328;145
"59";"{Corrector de ojeras,Brillo de labios} => {Delineador}";0,145;0,665137614678899;0,218;1,45544335815952;145
"60";"{Brillo de labios,Delineador} => {Base}";0,156;0,687224669603524;0,227;1,28213557761852;156
"61";"{Base,Delineador} => {Brillo de labios}";0,156;0,65546218487395;0,238;1,33767792831418;156
"62";"{Base,Delineador} => {Corrector de ojeras}";0,152;0,638655462184874;0,238;1,44492186014677;152
"63";"{Corrector de ojeras,Base} => {Delineador}";0,152;0,658008658008658;0,231;1,43984389060976;152
"64";"{Corrector de ojeras,Brillo de labios} => {Base}";0,141;0,646788990825688;0,218;1,20669587840613;141
"65";"{Corrector de ojeras,Base} => {Brillo de labios}";0,141;0,61038961038961;0,231;1,24569308242778;141
"66";"{Rubor,Mascarilla antiedad,Sombras} => {Corrector de ojeras}";0,119;0,70414201183432;0,169;1,59308147473828;119
"67";"{Rubor,Corrector de ojeras,Mascarilla antiedad} => {Sombras}";0,119;0,908396946564885;0,131;2,38424395423854;119
"68";"{Rubor,Corrector de ojeras,Sombras} => {Mascarilla antiedad}";0,119;0,959677419354839;0,124;2,68817204301075;119
"69";"{Corrector de ojeras,Mascarilla antiedad,Sombras} => {Rubor}";0,119;0,664804469273743;0,179;1,83141727072656;119
"70";"{Mascarilla antiedad,Sombras,Delineador} => {Corrector de ojeras}";0,114;0,754966887417219;0,151;1,70806988103443;114
"71";"{Corrector de ojeras,Mascarilla antiedad,Sombras} => {Delineador}";0,114;0,636871508379888;0,179;1,39359192205665;114
"72";"{Corrector de ojeras,Mascarilla antiedad,Delineador} => {Sombras}";0,114;0,850746268656716;0,134;2,23292983899401;114
"73";"{Corrector de ojeras,Sombras,Delineador} => {Mascarilla antiedad}";0,114;0,876923076923077;0,13;2,45636716224952;114
"74";"{Mascarilla antiedad,Sombras,Brillo de labios} => {Base}";0,111;0,70253164556962;0,158;1,31069336860004;111
"75";"{Mascarilla antiedad,Sombras,Base} => {Brillo de labios}";0,111;0,668674698795181;0,166;1,36464224243914;111
"76";"{Mascarilla antiedad,Base,Brillo de labios} => {Sombras}";0,111;0,853846153846154;0,13;2,24106602059358;111
"77";"{Sombras,Base,Brillo de labios} => {Mascarilla antiedad}";0,111;0,76027397260274;0,146;2,12961897087602;111
